Neighborhood,Population,Home Value,Median Income
North Center,34931,545871,99384
Loop,32384,331150,98220
Lake View,97804,373419,88165
Lincoln Park,64965,508008,99720
Edison Park,11128,345364,98327
Lincoln Square,41305,381276,72563
Near North Side,83049,434335,97802
Logan Square,73470,338254,67769
Forest Glen,18298,421818,112032
West Town,84995,407865,81403
Albany Park,51193,273641,58075
Norwood Park,37477,293731,77558
Irving Park,55070,291907,62620
Jefferson Park,26594,282741,69751
Edgewater,48951,241938,51873
Near South Side,21930,318671,80646
Dunning,43244,229478,60896
Mount Greenwood,18990,224582,91682
Avondale,37884,282354,49249
West Ridge,73660,235196,54223
Beverly,20831,289660,99102
Pottage Park,64285,248275,59222
Hyde Park,24100,272248,56899
Montclare,12903,197208,52361
Bridgeport,32495,270989,46467
Uptown,55359,205151,47665
Hermosa,24225,229088,39659
North Park,18562,282400,62644
West Elsdon,19771,164933,53245
Belmont Cragin,77859,204209,46654
Rogers Park,53183,195897,38837
Clearing,24934,174810,61588
Brighton Park,44212,168703,39500
Garfield Ridge,35441,197874,69182
Near West Side,61845,248351,64399
West Lawn,33314,161496,52390
Kenwood,14112,250519,47591
Ashburn,43133,159289,66956
O'hare,12706,154657,47915
South Lawndale,73519,138019,32212
Lower West Side,33150,208108,40724
Mckinley Park,16026,199955,43639
Morgan Park,23647,186465,69655
Gage Park,40693,128630,40566
Hegewisch,9039,140800,61614
Armour Square,13391,221250,27790
Archer Heights,13239,187340,46363
Humboldt Park,55833,154009,36095
Calumet Heights,13240,152919,49176
Douglas,19514,145570,39212
Washington Heights,26845,130192,49725
East Side,22550,117919,44652
Austin,97012,149598,36124
Grand Boulevard,22603,158817,36187
Avalon Park,9638,159970,45242
South Shore,47197,167563,26786
Chicago Lawn,53841,124714,34909
Oakland,5180,157000,35228
West Garfield Park,17277,140887,24266
Woodlawn,22658,130409,25807
East Garfield Park,20100,150056,27141
Auburn Gresham,45607,115671,32470
New City,41153,110614,32588
Roseland,42306,111072,39535
Chatham,30760,100130,35343
North Lawndale,35417,126400,26510
West Pullman,27416,99938,36883
South Chicago,27113,101252,32122
Grand Crossing,32217,112668,30799
Pullman,6565,107912,38397
South Deering,14598,88955,37207
Burnside,2423,100900,25642
West Englewood,30662,90438,30441
Fuller Park,2348,109700,22962
Washington Park,11871,104058,24556
Englewood,25858,70261,23317
Riverdale,7361,24186,15894
